"time","bagging","boosting","bagging_adwin","boosting_adwin","pame1","pame2","pame3","pame1adwin","pame2adwin","pame3adwin"
273,1.89641594422091e-08,1.89201028875469e-08,2.24656488500515e-08,2.3663280684621e-08,1.43427154646338e-08,1.44881023742797e-08,1.44420977479364e-08,1.7654389468833e-08,1.83776365247907e-08,1.7658706398805e-08
276,1.91453619231553e-08,1.91021239540933e-08,2.26858253335684e-08,2.38998401067696e-08,1.44658477141605e-08,1.46111455760813e-08,1.45657956101642e-08,1.78252729140802e-08,1.85570430033033e-08,1.78311751135853e-08
279,1.93244368989786e-08,1.92832489542125e-08,2.29026021670033e-08,2.41340004173625e-08,1.45994014566412e-08,1.47475817685864e-08,1.47001987118419e-08,1.79801915629415e-08,1.87200578072626e-08,1.80008086817463e-08
282,1.95074016679885e-08,1.94645452309276e-08,2.31363487873951e-08,2.43849131084854e-08,1.47336936211731e-08,1.48856943998155e-08,1.48355238299837e-08,1.81560082825273e-08,1.89020510134763e-08,1.81595739946845e-08
285,1.96885574938957e-08,1.96453705501515e-08,2.33559499378978e-08,2.46209227867963e-08,1.48694347802198e-08,1.50212391926638e-08,1.49708104199068e-08,1.83290142792836e-08,1.90812155722827e-08,1.83311273141081e-08
288,1.9869249985783e-08,1.98384589051497e-08,2.35840036614219e-08,2.48488893430183e-08,1.50055679975967e-08,1.51566159301044e-08,1.51058596320098e-08,1.85126944242294e-08,1.92711588876115e-08,1.85150192836838e-08
291,2.00635896420913e-08,2.00182437739728e-08,2.3800741347296e-08,2.50778154372672e-08,1.51305058582645e-08,1.52794387831332e-08,1.5229870119159e-08,1.86833886472012e-08,1.94474872648923e-08,1.86877258199412e-08
294,2.02465195258562e-08,2.01992507158344e-08,2.40193668201297e-08,2.53166992454148e-08,1.5266288277273e-08,1.5416147156573e-08,1.53649746047105e-08,1.88560999440278e-08,1.96287670480708e-08,1.88596185058521e-08
297,2.04290283478941e-08,2.03839810634943e-08,2.42383084022978e-08,2.55626411325816e-08,1.54026804071189e-08,1.55526300725258e-08,1.55012512918086e-08,1.90287656221829e-08,1.98104742061719e-08,1.90310845205767e-08
300,2.06113626023278e-08,2.05643522198291e-08,2.44709725864459e-08,2.5801478752676e-08,1.55361898031231e-08,1.56889135357655e-08,1.56356535420339e-08,1.91874896630562e-08,1.99791129809618e-08,1.92031136485396e-08
303,2.07925856185601e-08,2.07421315509702e-08,2.46865544911205e-08,2.60491234341595e-08,1.56695355783672e-08,1.58252037751468e-08,1.57691504145931e-08,1.93559234435981e-08,2.01569668515854e-08,1.93594468901803e-08
