learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
73.0,0.929972632,6.570754120552497E-8,73.0,76.71232876712328,54.088050314465406,73.0,287000.0,10.0,0.0,68.5,5.414486740833951,16261.600000000002,4.7777260979118745,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
74.0,0.939193435,6.639215913639299E-8,74.0,77.02702702702703,54.65032444124008,74.0,287000.0,10.0,0.0,69.1,5.562673218276742,16261.600000000002,4.7777260979118745,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
75.0,0.948377269,6.707407023985765E-8,75.0,77.33333333333333,55.278849526481935,75.0,287016.0,10.0,0.0,69.2,5.563372278673351,16263.2,5.392999577641777,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
76.0,0.957656223,6.776707691471608E-8,76.0,77.63157894736842,55.8743169398907,76.0,288696.0,10.0,0.0,70.4,5.289822513300633,16263.2,5.392999577641777,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
77.0,0.966911889,6.845838261638663E-8,77.0,77.92207792207793,56.41025641025642,77.0,288712.0,10.0,0.0,71.9,5.642005159712477,16264.8,5.25948877955091,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
78.0,0.976182565,6.915080941497036E-8,78.0,78.2051282051282,56.92007797270955,78.0,288712.0,10.0,0.0,72.50000000000001,5.762426186560271,16264.8,5.25948877955091,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
79.0,0.985498936,6.984664917314424E-8,79.0,78.48101265822784,57.40564541706311,79.0,288712.0,10.0,0.0,73.10000000000001,5.778215795362595,16264.8,5.25948877955091,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
80.0,0.994852016,7.054523072656037E-8,80.0,78.75,57.86864931846344,80.0,288712.0,10.0,0.0,74.60000000000001,5.970669048681972,16264.8,5.25948877955091,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
81.0,1.004102543,7.12361908862036E-8,81.0,79.01234567901234,58.43646242076667,81.0,288728.0,10.0,0.0,75.3,6.099271359032249,16266.400000000001,5.725576147622441,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
82.0,1.013582967,7.194438186679035E-8,82.0,79.26829268292683,58.87905604719765,82.0,288752.0,10.0,0.0,75.6,6.137679619458083,16268.8,5.491002741859739,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
83.0,1.022814395,7.263403007554925E-8,83.0,79.51807228915662,59.30199019325065,83.0,288776.0,10.0,0.0,77.2,5.830570774422994,16271.2,5.12249938994627,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
84.0,1.032026383,7.332222598882599E-8,84.0,79.76190476190477,59.84251968503938,84.0,288776.0,10.0,0.0,77.60000000000001,5.846556441378311,16271.2,5.12249938994627,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
85.0,1.041306981,7.401554751902819E-8,85.0,80.0,60.35665294924556,85.0,288776.0,10.0,0.0,79.30000000000001,5.754322047141803,16271.2,5.12249938994627,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
86.0,1.050544982,7.470570589301074E-8,86.0,80.23255813953489,60.76221148684916,86.0,288784.0,10.0,0.0,79.7,5.8062227155201525,16272.0,4.618802153516972,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
87.0,1.059759311,7.539409576436713E-8,87.0,80.45977011494253,61.150512214342,87.0,288784.0,10.0,0.0,80.2,5.8210346541181535,16272.0,4.618802153516972,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
88.0,1.069062404,7.608911707231983E-8,88.0,80.68181818181817,61.64102564102563,88.0,288784.0,10.0,0.0,80.60000000000001,5.861740355901138,16272.0,4.618802153516972,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
89.0,1.078320584,7.678078299169327E-8,89.0,80.89887640449437,62.013557619884494,89.0,288784.0,10.0,0.0,81.89999999999999,5.827997559673094,16272.0,4.618802153516972,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
