learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div
109.0,0.848912126,1.3335601520552827E-8,109.0,75.22935779816514,37.79327837666455,109.0,65360.0,10.0,1.0,0.0
110.0,0.85573224,1.3450920637173381E-8,110.0,75.45454545454545,39.26380368098161,110.0,65360.0,10.0,1.0,0.0
111.0,0.86248864,1.3565162434236468E-8,111.0,75.67567567567568,39.46677438901233,111.0,65360.0,10.0,1.0,0.0
112.0,0.868690118,1.3670021233473812E-8,112.0,75.0,38.17034700315455,112.0,65360.0,10.0,1.0,0.0
113.0,0.875422786,1.3783861753772955E-8,113.0,75.22123893805309,38.371640046747174,113.0,65360.0,10.0,1.0,0.0
114.0,0.882186804,1.389823236115071E-8,114.0,74.56140350877193,36.884306987399775,114.0,65360.0,10.0,1.0,0.0
115.0,0.888960132,1.4012760388327566E-8,115.0,74.78260869565217,38.2750323894133,115.0,65360.0,10.0,1.0,0.0
116.0,0.895148654,1.4117400118723108E-8,116.0,75.0,38.47841989758597,116.0,65360.0,10.0,1.0,0.0
117.0,0.901885058,1.4231303809846036E-8,117.0,75.21367521367522,39.78704525288375,117.0,65360.0,10.0,1.0,0.0
118.0,0.908685286,1.4346286680481095E-8,118.0,75.42372881355932,39.98596983514555,118.0,65360.0,10.0,1.0,0.0
119.0,0.915469284,1.4460995123260146E-8,119.0,75.63025210084034,40.18027387762177,119.0,65360.0,10.0,1.0,0.0
120.0,0.92165111,1.4565521633142822E-8,120.0,75.83333333333333,40.37011651816313,120.0,65360.0,10.0,1.0,0.0
121.0,0.928454244,1.468055364039831E-8,121.0,76.03305785123968,41.6042602762523,121.0,65360.0,10.0,1.0,0.0
122.0,0.93522059,1.479496361118018E-8,122.0,76.22950819672131,41.790062520565975,122.0,65360.0,10.0,1.0,0.0
123.0,0.942010718,1.490977570415993E-8,123.0,76.42276422764228,41.9716935090288,123.0,65360.0,10.0,1.0,0.0
124.0,0.948207596,1.5014556723475053E-8,124.0,76.61290322580645,43.13725490196077,124.0,65360.0,10.0,1.0,0.0
125.0,0.95483383,1.5126597585460803E-8,125.0,76.8,43.31508991399531,125.0,65360.0,10.0,1.0,0.0
126.0,0.961495404,1.523923600015335E-8,126.0,76.98412698412699,43.48901948654502,126.0,65360.0,10.0,1.0,0.0
127.0,0.967486962,1.5340545329548844E-8,127.0,77.16535433070865,43.65917087348935,127.0,65360.0,10.0,1.0,0.0
