learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
399.0,1.133408887,3.4763358690275074E-8,399.0,70.92731829573935,36.59378596087458,399.0,122352.0,10.0,0.0,402.9,11.379757857216859,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
406.0,1.147034059,3.5194630126936556E-8,406.0,70.6896551724138,36.08075569549916,406.0,122352.0,10.0,0.0,410.0,11.627553482998906,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
413.0,1.161236631,3.5644177745911796E-8,413.0,70.70217917675545,36.00507113677983,413.0,122352.0,10.0,0.0,416.5,11.755140719418602,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
420.0,1.176927559,3.614083562744987E-8,420.0,71.19047619047619,36.979166666666664,420.0,122352.0,10.0,0.0,422.0,11.90984653320287,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
427.0,1.191223597,3.659334168365431E-8,427.0,71.19437939110071,37.09231156200218,427.0,122352.0,10.0,0.0,429.09999999999997,12.06413417255185,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
434.0,1.209664881,3.717705534573229E-8,434.0,71.19815668202764,36.817218327082976,434.0,122352.0,10.0,0.0,435.5,12.307405178274673,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
441.0,1.223753671,3.7623001474274515E-8,441.0,70.97505668934241,36.33779943158751,441.0,122352.0,10.0,0.0,443.30000000000007,12.597221915962272,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
448.0,1.238027007,3.807478895429106E-8,448.0,70.98214285714286,36.07446271376201,448.0,122352.0,10.0,0.0,447.6,12.756871786522657,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
455.0,1.253883757,3.8576695524959086E-8,455.0,70.98901098901099,36.19869125520523,455.0,122352.0,10.0,0.0,454.6,12.6035268432645,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
462.0,1.267502591,3.900776634775928E-8,462.0,71.21212121212122,36.51879248713763,462.0,122352.0,10.0,0.0,460.5,12.816872560114739,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
469.0,1.281652197,3.945563745777638E-8,469.0,71.42857142857143,37.1904295508605,469.0,122352.0,10.0,0.0,467.6,13.139592417152402,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
476.0,1.295223043,3.988518933801185E-8,476.0,71.42857142857143,37.28590250329381,476.0,122352.0,10.0,0.0,475.1,13.186230191630461,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
483.0,1.309945359,4.035118817988367E-8,483.0,71.42857142857143,37.216005425568,483.0,122352.0,10.0,0.0,483.7,13.374145870962295,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
490.0,1.323445463,4.077850089543393E-8,490.0,71.42857142857143,37.30808597748209,490.0,122352.0,10.0,0.0,491.50000000000006,13.673372338640942,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
497.0,1.337576121,4.1225772252935474E-8,497.0,71.6297786720322,37.914078904235815,497.0,122352.0,10.0,0.0,496.3,13.800201286776783,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
504.0,1.351462945,4.166532564258407E-8,504.0,71.62698412698413,37.990845579378465,504.0,122352.0,10.0,0.0,502.00000000000006,13.645512082732562,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
511.0,1.365094277,4.2096792058952953E-8,511.0,71.42857142857143,37.399520045646014,511.0,122352.0,10.0,0.0,517.1999999999999,12.77393178834666,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
518.0,1.379935779,4.256656344163746E-8,518.0,71.62162162162163,37.668014603559214,518.0,122352.0,10.0,0.0,523.5,13.056501147789259,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
525.0,1.393397791,4.299267044825684E-8,525.0,72.0,38.27234553089381,525.0,122352.0,10.0,0.0,527.6,13.319325975605688,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
532.0,1.407352451,4.343437102028063E-8,532.0,72.18045112781954,38.67817255720494,532.0,122352.0,10.0,0.0,531.9,13.247599363238942,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
539.0,1.420739235,4.385809686887593E-8,539.0,72.35621521335807,38.924673941974966,539.0,122352.0,10.0,0.0,538.2,13.336499624047615,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
