learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
237.0,0.336554683,6.756824080842652E-9,237.0,74.26160337552743,45.007417551067,237.0,82416.0,10.0,0.0,252.8,7.848283605703579,5576.8,1.8666666666666203
240.0,0.340449709,6.839870234551944E-9,240.0,74.58333333333333,45.90600059119125,240.0,82416.0,10.0,0.0,254.50000000000003,7.917982346813137,5576.8,1.8666666666666203
243.0,0.343828814,6.91191639630538E-9,243.0,74.48559670781893,45.77844957892465,243.0,82416.0,10.0,0.0,259.20000000000005,8.118292102817358,5576.8,1.8666666666666203
246.0,0.347266411,6.985209670561471E-9,246.0,74.79674796747967,46.17827651916154,246.0,82416.0,10.0,0.0,261.8,8.032987544425106,5576.8,1.8666666666666203
249.0,0.350588254,7.056034944738366E-9,249.0,75.1004016064257,46.79853883796265,249.0,82416.0,10.0,0.0,262.9,7.9839422175597745,5576.8,1.8666666666666203
252.0,0.353963788,7.128004968921758E-9,252.0,74.60317460317461,45.933623868588676,252.0,82416.0,10.0,0.0,272.0,7.808826914318039,5576.8,1.8666666666666203
255.0,0.357967227,7.213362604675608E-9,255.0,74.50980392156863,45.817397273707954,255.0,82416.0,10.0,0.0,275.1,7.970013244098852,5576.8,1.8666666666666203
258.0,0.361634378,7.2915502177033995E-9,258.0,74.8062015503876,46.41830148891303,258.0,82416.0,10.0,0.0,275.70000000000005,8.05681216252571,5576.8,1.8666666666666203
261.0,0.36508776,7.3651800451779535E-9,261.0,74.71264367816092,46.08113183923875,261.0,82416.0,10.0,0.0,281.0,8.143163458454653,5576.8,1.8666666666666203
264.0,0.368463524,7.437154973209319E-9,264.0,75.0,46.666666666666664,264.0,82416.0,10.0,0.0,283.4,8.052880781986586,5576.8,1.8666666666666203
267.0,0.371844373,7.509245315947467E-9,267.0,74.90636704119851,46.33246332463326,267.0,82424.0,10.0,0.0,286.7,8.009785681693781,5577.599999999999,1.5999999999999548
270.0,0.375188318,7.58054874924115E-9,270.0,74.81481481481481,45.999999999999986,270.0,82424.0,10.0,0.0,291.3,7.422263805605403,5577.599999999999,1.5999999999999548
273.0,0.379160313,7.665244185477496E-9,273.0,74.72527472527473,45.672425230006056,273.0,82424.0,10.0,0.0,295.50000000000006,7.739150111248934,5577.599999999999,1.5999999999999548
276.0,0.382604065,7.738675818178389E-9,276.0,74.27536231884058,44.9055330634278,276.0,82424.0,10.0,0.0,299.5,8.11890797254573,5577.599999999999,1.5999999999999548
279.0,0.385932353,7.809645394947794E-9,279.0,74.55197132616487,45.47331333094774,279.0,82424.0,10.0,0.0,302.7,8.087095344504794,5577.599999999999,1.5999999999999548
282.0,0.38935191,7.882561114088943E-9,282.0,74.822695035461,46.43946284307957,282.0,82424.0,10.0,0.0,305.7,8.381262169599252,5577.599999999999,1.5999999999999548
285.0,0.392659205,7.95308305401769E-9,285.0,75.08771929824562,46.77941137792273,285.0,82424.0,10.0,0.0,308.0,8.318653737234166,5577.599999999999,1.5999999999999548
288.0,0.396682598,8.032362870733358E-9,288.0,75.0,46.46563742448495,288.0,76168.0,10.0,1.0,277.90000000000003,31.941074218351233,5037.599999999999,540.1801181087656
291.0,0.40020009,8.105102847841465E-9,291.0,74.91408934707904,46.36012423301265,291.0,79936.0,10.0,1.0,326.8,48.41643430810565,5414.4,163.38551547388357
294.0,0.403743295,8.17932051875939E-9,294.0,75.17006802721087,47.07797011392216,294.0,80968.0,10.0,1.0,344.1,57.5886659373565,5500.8,76.99419891567585
297.0,0.407569569,8.259776324948504E-9,297.0,75.08417508417509,46.964285714285715,297.0,81280.0,10.0,1.0,369.1,67.2685249165198,5532.0,45.805385418456304
300.0,0.411001749,8.33198095639133E-9,300.0,75.0,46.66729875794065,300.0,81320.0,10.0,1.0,375.2,69.71526215813705,5535.999999999999,41.808026874167496
303.0,0.41437008,8.402849332922036E-9,303.0,74.91749174917491,46.371681415929196,303.0,81328.0,10.0,1.0,377.6,70.33731426332524,5536.799999999999,41.00861698066233
306.0,0.418366653,8.487117646493847E-9,306.0,74.18300653594771,44.88120753340326,306.0,81504.0,10.0,1.0,393.8,77.09630341332844,5537.599999999999,40.20923055993763
309.0,0.421788426,8.55948575316825E-9,309.0,73.7864077669903,44.01046909603382,309.0,81752.0,10.0,1.0,413.9,83.91814133096874,5560.8,17.052077097331342
312.0,0.425221191,8.632136064248368E-9,312.0,74.03846153846155,44.52541926420231,312.0,81808.0,10.0,1.0,415.4,84.15900295142391,5566.4,11.488351588553597
315.0,0.428621527,8.704100054843974E-9,315.0,74.28571428571429,45.21739130434783,315.0,81808.0,10.0,1.0,422.9,88.69829636344646,5566.4,11.488351588553597
318.0,0.432036421,8.777580687658242E-9,318.0,74.21383647798741,45.13549907422991,318.0,83176.0,10.0,1.0,433.8,93.81089725849787,5568.8,9.117504531881996
321.0,0.435437778,8.850770035493707E-9,321.0,74.45482866043614,45.624690133862174,321.0,83176.0,10.0,1.0,438.6000000000001,95.4444806622619,5568.8,9.117504531881996
324.0,0.438921039,8.925873156781827E-9,324.0,74.38271604938271,45.35479151426481,324.0,83344.0,10.0,1.0,444.3,96.97159377879687,5568.8,9.117504531881996
327.0,0.442406328,9.001034430435136E-9,327.0,74.31192660550458,45.44804575786463,327.0,83360.0,10.0,1.0,460.8,100.4335933175084,5570.4,7.547184905645267
330.0,0.445807686,9.074385707597768E-9,330.0,74.54545454545455,45.74917801784877,330.0,83360.0,10.0,1.0,464.6,100.94632236986149,5570.4,7.547184905645267
333.0,0.449103953,9.145470666699113E-9,333.0,74.77477477477478,46.21596677434241,333.0,83360.0,10.0,1.0,467.3,101.80144618051574,5570.4,7.547184905645267
336.0,0.452421866,9.217022428102793E-9,336.0,75.0,46.50290003411805,336.0,83360.0,10.0,1.0,469.90000000000003,103.04351292320906,5570.4,7.547184905645267
339.0,0.456332155,9.301348950693179E-9,339.0,74.92625368731564,46.23364991696677,339.0,83360.0,10.0,1.0,485.0,106.6913513104246,5570.4,7.547184905645267
342.0,0.459653698,9.372978994105427E-9,342.0,74.56140350877193,45.60312991334236,342.0,83360.0,10.0,1.0,492.4,107.47053342919422,5570.4,7.547184905645267
345.0,0.462969822,9.444512764410015E-9,345.0,74.20289855072464,44.81587318703834,345.0,83384.0,10.0,1.0,503.20000000000005,109.91368330548192,5572.799999999999,5.225578117937429
348.0,0.466271541,9.51587929563804E-9,348.0,74.13793103448276,44.568333864288,348.0,83552.0,10.0,1.0,508.8,110.79699153557073,5572.799999999999,5.225578117937429
351.0,0.469568762,9.587148602766298E-9,351.0,73.78917378917379,43.80286102119662,351.0,83552.0,10.0,1.0,513.8000000000001,113.22590987343254,5572.799999999999,5.225578117937429
354.0,0.473501998,9.672173490296638E-9,354.0,74.01129943502825,44.43269066712164,354.0,83560.0,10.0,1.0,518.6,115.18778870464814,5573.599999999999,4.4701478971307145
357.0,0.476973339,9.747213578942339E-9,357.0,73.94957983193278,44.367365404916306,357.0,83560.0,10.0,1.0,531.3,122.0509957171819,5573.599999999999,4.4701478971307145
360.0,0.480296282,9.819045743308965E-9,360.0,74.16666666666667,44.64285714285715,360.0,83560.0,10.0,1.0,532.9,121.77606497173407,5573.599999999999,4.4701478971307145
363.0,0.483601822,9.890508547636373E-9,363.0,73.82920110192838,43.90037578695646,363.0,83568.0,10.0,1.0,540.2,124.08015330601603,5574.400000000001,3.733333333333303
366.0,0.486910265,9.96217790283884E-9,366.0,74.04371584699454,44.16969074151386,366.0,83736.0,10.0,1.0,542.0,124.24563484395648,5574.400000000001,3.733333333333303
368.0,0.490785243,1.004612787789562E-8,368.0,74.18478260869566,44.34538970962812,368.0,83744.0,10.0,1.0,544.3000000000001,124.38006717762741,5575.199999999999,3.0287511177601116
