learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
760000.0,37.117279586,5.255014959296418E-7,760000.0,64.0,27.989342422678554,760000.0,56504.0,10.0,3980.0,6643417.8,4006356.654471352,3288.0,0.0
770000.0,37.599823099,5.324083309523511E-7,770000.0,59.099999999999994,18.23401464990563,770000.0,55328.0,10.0,4027.0,5435670.6,1767720.4997032834,3288.0,0.0
780000.0,38.0845041,5.39430020961306E-7,780000.0,55.300000000000004,10.377736787232342,780000.0,56000.0,10.0,4081.0,4783633.0,1570784.7019660375,3288.0,0.0
790000.0,38.571309343,5.463766984078473E-7,790000.0,65.5,30.90326457039856,790000.0,55160.0,10.0,4116.0,6307159.0,3500455.863473121,3288.0,0.0
800000.0,39.09238507,5.537444727695173E-7,800000.0,70.1,40.1842086310786,800000.0,54656.0,10.0,4170.0,5342866.5,1812320.199206986,3288.0,0.0
810000.0,39.581671595,5.609392102803247E-7,810000.0,65.2,30.272817619337673,810000.0,56840.0,10.0,4218.0,4326770.1000000015,2032843.2032873202,3288.0,0.0
820000.0,40.066569422,5.680061904869062E-7,820000.0,65.10000000000001,29.875745446946688,820000.0,56336.0,10.0,4272.0,4236401.1,2290586.5540182325,3288.0,0.0
830000.0,40.550249776,5.750133838825672E-7,830000.0,56.00000000000001,12.030965100284702,830000.0,56000.0,10.0,4324.0,5139572.5,2181802.2625908926,3288.0,0.0
840000.0,41.03675573,5.819346461099717E-7,840000.0,64.60000000000001,29.2622492206858,840000.0,54992.0,10.0,4372.0,6452307.9,3681127.503758577,3288.0,0.0
850000.0,41.518907887,5.887939691761508E-7,850000.0,56.99999999999999,14.274322169058998,850000.0,54992.0,10.0,4422.0,6088249.0,3712171.461955285,3288.0,0.0
860000.0,42.004672732,5.959580341478188E-7,860000.0,58.4,16.978993290465752,860000.0,57008.0,10.0,4463.0,4013953.6,1629211.0506636312,3288.0,0.0
870000.0,42.489588521,6.029831255868905E-7,870000.0,55.00000000000001,9.96794858969794,870000.0,56000.0,10.0,4506.0,5467825.5,1858977.5172611016,3288.0,0.0
880000.0,42.970830563,6.098085853226193E-7,880000.0,70.19999999999999,40.36302507554683,880000.0,54824.0,10.0,4561.0,4214791.5,1604870.8317604272,3288.0,0.0
890000.0,43.449924895,6.166452285977825E-7,890000.0,66.7,33.400000000000006,890000.0,55160.0,10.0,4623.0,6167580.1,2264215.4982078373,3288.0,0.0
900000.0,43.928842144,6.232920138036211E-7,900000.0,60.6,21.14953570284982,900000.0,53648.0,10.0,4689.0,4151031.8,1211587.1552826143,3288.0,0.0
910000.0,44.411136937,6.302791342444717E-7,910000.0,62.4,24.80932364386816,910000.0,56000.0,10.0,4736.0,4400858.0,1593624.7056757957,3288.0,0.0
920000.0,44.896814496,6.37315261628396E-7,920000.0,66.10000000000001,32.15114882715556,920000.0,56000.0,10.0,4782.0,6746244.399999999,3197184.5216256552,3288.0,0.0
930000.0,45.383896924,6.443505722465863E-7,930000.0,62.7,25.450693528400688,930000.0,55832.0,10.0,4820.0,1.32500072E7,6568799.992997608,3288.0,0.0
940000.0,45.865307232,6.510738038999257E-7,940000.0,55.7,11.392911432914635,940000.0,53984.0,10.0,4882.0,3856704.7,1330160.8525650993,3288.0,0.0
950000.0,46.348598892,6.579913474447943E-7,950000.0,60.6,21.174775928297045,950000.0,55328.0,10.0,4931.0,5515353.5,1921887.1608420445,3288.0,0.0
960000.0,46.831021609,6.649174203879821E-7,960000.0,57.3,14.274242120056202,960000.0,55496.0,10.0,4981.0,5337618.0,2370307.2824990856,3288.0,0.0
970000.0,47.313558281,6.71740269997569E-7,970000.0,55.50000000000001,11.130105525510654,970000.0,54656.0,10.0,5033.0,8898006.200000001,3514288.8058974124,3288.0,0.0
980000.0,47.794173756,6.786195082543397E-7,980000.0,66.10000000000001,32.13756656123634,980000.0,55328.0,10.0,5085.0,6574082.4,2354737.8492397135,3288.0,0.0
990000.0,48.276340717,6.854501029596436E-7,990000.0,65.5,29.844967545671945,990000.0,54760.0,10.0,5137.0,7151979.9,2321509.7334416835,3231.2,56.800000000000004
1000000.0,48.760324102,6.922723736842246E-7,1000000.0,66.9,33.7682087401953,1000000.0,54488.0,10.0,5186.0,3737745.1,1502292.457832114,3288.0,0.0
